,Rifle_name,count
0,Dassault Rafale,8
1,HAL Tejas,31
2,Sukhoi Su-30MKI,259
3,Mikoyan MiG-29,53
4,Dassault Mirage 2000,37
5,SEPECAT Jaguar,28
6,Mikoyan-Gurevich MiG-21,40
7,Embraer R-99,3
8,Beriev A-50,3
9,Boeing 707,1
10,Global 5000,2
11,Gulfstream III,3
12,Gulfstream G100,2
13,Ilyushin Il-78,6
14,Boeing 777,2
15,Boeing 737,3
16,Embraer Legacy 600,4
17,Boeing C-17,11
18,Ilyushin Il-76,17
19,C-130J Super Hercules,12
20,Airbus A321,4
21,Antonov An-32,103
22,EADS CASA C-295,5
23,Hawker Siddeley HS 748,57
24,Dornier Do 228,58
25,Boeing AH-64,22
26,Mil Mi-24,15
27,HAL Prachand,10
28,HAL Rudra,16
29,CH-47 Chinook,15
30,Mil Mi-17,222
31,HAL Dhruv,95
32,HAL Light Utility Helicopter,0
33,Alouette III,77
34,SA 315B Lama,18
35,BAE Hawk,101
36,HAL Kiran,77
37,HAL HTT-40,0
38,Pilatus PC-7,75
39,Pipistrel Virus,72
40,IAI Heron,47
41,IAI Heron Mk 2,4
42,MQ-9 Reaper,8
43,IAI Searcher,0
44,ALS-50,100
45,Kadet Loitering Aerial Munition,50